route,Empfänger PLZ,Empfänger Ort,Tonnage (eff.),Lademeter,Erloese,dinas_erloese_kg,dlv_soll,dlv_soll_kg,delta_pct,zone_matched,weight_band_matched,Ausgangsbordero,periode
CH-83,8304,,100.0000,0.0000,97.4300,97.4300,51.4100,51.4100,-47.2300,Zone 1,bis 300 kg,2025_24208427,PRE
CH-62,6260,,21.0000,0.0000,102.3800,487.5238,55.7600,265.5238,-45.5400,Zone 3,bis 300 kg,2025_24208427,PRE
CH-94,9445,,16.0000,0.0000,104.2700,651.6875,57.4100,358.8125,-44.9400,Zone 4,bis 300 kg,2025_24208427,PRE
CH-49,4900,,14.0000,0.0000,100.6700,719.0714,54.2500,387.5000,-46.1100,Zone 2,bis 300 kg,2025_24208499,PRE
CH-80,8005,,11.0000,0.0000,97.4300,885.7273,51.4100,467.3636,-47.2300,Zone 1,bis 300 kg,2025_24208499,PRE
CH-62,6260,,46.0000,0.0000,102.3800,222.5652,55.7600,121.2174,-45.5400,Zone 3,bis 300 kg,2025_24208499,PRE
CH-83,8304,,36.0000,0.0000,97.4300,270.6389,51.4100,142.8056,-47.2300,Zone 1,bis 300 kg,2025_24208499,PRE
CH-83,8302,,16.0000,0.0000,97.4300,608.9375,51.4100,321.3125,-47.2300,Zone 1,bis 300 kg,2025_24208499,PRE
CH-94,9445,,43.0000,0.0000,104.2700,242.4884,57.4100,133.5116,-44.9400,Zone 4,bis 300 kg,2025_24208559,PRE
CH-90,9015,,11.0000,0.0000,102.3800,930.7273,55.7600,506.9091,-45.5400,Zone 3,bis 300 kg,2025_24208559,PRE
CH-46,4600,,30.0000,0.0000,100.6700,335.5667,54.2500,180.8333,-46.1100,Zone 2,bis 300 kg,2025_24208559,PRE
CH-49,4900,,21.0000,0.0000,100.6700,479.3810,54.2500,258.3333,-46.1100,Zone 2,bis 300 kg,2025_24208559,PRE
