route,gewicht,ldm,ax_erloese_fracht,dlv_soll,delta
0617,6000.0000,6.8000,2265.9000,2298.2100,-32.3100
0617,6000.0000,13.6000,3375.0000,3439.6200,-64.6200
3151,430.0000,0.4000,150.0000,150.0000,0.0000
0617,4000.0000,6.0000,2149.9000,2178.4088,-28.5088
0617,7000.0000,13.6000,3375.0000,3439.6200,-64.6200
0582,8193.0000,13.6000,920.0000,1015.4300,-95.4300
2321,4378.5000,13.6000,960.0000,1137.7600,-177.7600
2321,4318.5000,13.6000,960.0000,1137.7600,-177.7600
2321,4370.0000,13.6000,960.0000,1137.7600,-177.7600
0582,8007.0000,13.6000,920.0000,1015.4300,-95.4300
5513,143.0000,0.4000,79.0000,81.4768,-2.4768
2321,4361.5000,13.6000,960.0000,1137.7600,-177.7600
0582,7010.0000,13.6000,920.0000,1015.4300,-95.4300
0617,6000.0000,13.6000,3375.0000,3375.0000,0.0000
0617,7000.0000,13.6000,3325.0000,3325.0000,0.0000
4005,3735.0000,13.6000,1300.0000,1357.9900,-57.9900
2321,10000.0000,13.6000,960.0000,1137.7600,-177.7600
7300,910.0000,2.0000,566.4000,,
5513,4546.0000,13.6000,645.0000,729.2100,-84.2100
0617,6000.0000,13.6000,3325.0000,3325.0000,0.0000
3151,272.0000,1.2000,350.0000,350.0000,0.0000
4601,42.0000,0.8000,0.0000,,
0617,7000.0000,13.6000,3505.0000,3569.6200,-64.6200
0617,7000.0000,13.6000,3375.0000,3439.6200,-64.6200
3151,2343.0000,2.8000,750.0000,750.0000,0.0000
5513,1282.5000,1.2000,0.0000,,
0617,8000.0000,13.6000,3375.0000,3439.6200,-64.6200
0582,9410.0000,13.6000,920.0000,1015.4300,-95.4300
2321,4313.5000,13.6000,960.0000,1137.7600,-177.7600
2520,332.5000,1.2000,437.0000,440.3318,-3.3318
0617,7000.0000,13.6000,3375.0000,3439.6200,-64.6200
4005,1994.1000,10.4000,1175.0000,1219.3453,-44.3453
0617,8000.0000,13.6000,3375.0000,3439.6200,-64.6200
0582,8332.0000,13.6000,920.0000,1015.4300,-95.4300
4005,10000.0000,10.4000,1175.0000,1219.3453,-44.3453
4005,3349.8000,5.2000,770.0000,792.1726,-22.1726
4005,10000.0000,10.4000,1175.0000,1219.3453,-44.3453
2321,4386.5000,13.6000,960.0000,1137.7600,-177.7600
2321,10000.0000,13.6000,960.0000,1137.7600,-177.7600
2321,4316.0000,13.6000,960.0000,1137.7600,-177.7600
2321,4331.5000,13.6000,960.0000,1137.7600,-177.7600
0582,8000.0000,13.6000,920.0000,1015.4300,-95.4300
0617,7610.0000,13.6000,3375.0000,3439.6200,-64.6200
0617,1433.5000,2.8000,1258.3000,1271.6041,-13.3041
0617,7474.0000,10.0000,2980.8000,3028.3147,-47.5147
0617,6696.5000,13.6000,3375.0000,3439.6200,-64.6200
5513,2213.0000,6.4000,477.0000,516.6282,-39.6282
0582,7874.0000,13.6000,920.0000,1015.4300,-95.4300
CHN,18000.0000,13.6000,774.0000,,
0582,5747.0000,13.6000,920.0000,1015.4300,-95.4300
1069,734.3000,1.2000,305.0000,310.1168,-5.1168
1069,4449.0000,3.2000,587.0000,600.6447,-13.6447
0582,7941.0000,13.6000,920.0000,1015.4300,-95.4300
0617,6101.0000,13.6000,3375.0000,3439.6200,-64.6200
3151,1200.0000,2.4000,660.0000,660.0000,0.0000
