rechnung_nr,sendungsnummer,abs_name,leistung_date,empf_land,empf_plz,fracht,diesel,maut,transportversicherung,verzollung,lademittel,gefahrgut,gb_safety_ssd,avisgebuehr,langgutzuschlag,sonstige_nebengeb,GESAMT,sum_kategorien,identitaet_delta,identitaet_ok,coverage_flag
2376121,21114996,SIKA POLYURETHANE,2025-02-03,DE,70499,1495.0000,47.8400,53.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1596.3400,1596.3400,0.0000,True,full
2376121,21115334,SIKA POLYURETHANE,2025-02-05,DE,70499,1495.0000,47.8400,53.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1596.3400,1596.3400,0.0000,True,full
2376121,21115856,SIKA POLYURETHANE,2025-02-06,DE,70499,1495.0000,47.8400,53.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1596.3400,1596.3400,0.0000,True,full
2376121,21115902,SIKA POLYURETHANE,2025-02-07,DE,70499,1575.0000,50.4000,53.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1678.9000,1678.9000,0.0000,True,full
2376121,21115855,SIKA POLYURETHANE,2025-02-07,DE,70499,1495.0000,47.8400,53.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1596.3400,1596.3400,0.0000,True,full
2376121,21116273,SIKA POLYURETHANE,2025-02-10,DE,70499,1495.0000,47.8400,53.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1596.3400,1596.3400,0.0000,True,full
2376121,21116307,SIKA POLYURETHANE,2025-02-11,DE,70499,1575.0000,50.4000,53.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1678.9000,1678.9000,0.0000,True,full
2376121,21116620,SIKA POLYURETHANE,2025-02-12,DE,70499,1575.0000,50.4000,53.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1678.9000,1678.9000,0.0000,True,full
2376121,21116274,SIKA POLYURETHANE,2025-02-11,DE,70499,1495.0000,47.8400,53.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1596.3400,1596.3400,0.0000,True,full
2376121,21116275,SIKA POLYURETHANE,2025-02-12,DE,70499,1495.0000,47.8400,53.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1596.3400,1596.3400,0.0000,True,full
2376121,21116276,SIKA POLYURETHANE,2025-02-13,DE,70499,1495.0000,47.8400,53.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1596.3400,1596.3400,0.0000,True,full
2376121,21116648,SIKA POLYURETHANE,2025-02-13,DE,70499,1575.0000,50.4000,53.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1678.9000,1678.9000,0.0000,True,full
2376121,21116917,SIKA POLYURETHANE,2025-02-14,DE,70499,1575.0000,50.4000,53.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1678.9000,1678.9000,0.0000,True,full
2376121,21116277,SIKA POLYURETHANE,2025-02-14,DE,70499,1495.0000,47.8400,53.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1596.3400,1596.3400,0.0000,True,full
2376869,21118133,SIKA S.A.U.(ESPANA),2025-02-19,DE,70499,2297.4000,73.5200,45.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2415.9200,2415.9200,0.0000,True,full
2376869,21117923,SIKA S.A.U.,2025-02-17,DE,70499,2297.4000,73.5200,45.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2415.9200,2415.9200,0.0000,True,full
2376869,21117996,SIKA S.A.U.,2025-02-18,DE,70499,2297.4000,73.5200,45.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2415.9200,2415.9200,0.0000,True,full
2376869,21118169,SIKA S.A.U.,2025-02-19,DE,70499,2297.4000,73.5200,45.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2415.9200,2415.9200,0.0000,True,full
2376869,21118409,SIKA S.A.U.,2025-02-19,DE,70499,2297.4000,73.5200,45.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2415.9200,2415.9200,0.0000,True,full
2376869,21118412,SIKA S.A.U.,2025-02-20,DE,70499,2297.4000,73.5200,45.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2415.9200,2415.9200,0.0000,True,full
2376869,21118616,SIKA S.A.U.,2025-02-21,DE,70499,2297.4000,73.5200,45.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2415.9200,2415.9200,0.0000,True,full
2376869,21118617,SIKA S.A.U.,2025-02-21,DE,70499,2297.4000,73.5200,45.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2415.9200,2415.9200,0.0000,True,full
2376869,21118873,SIKA S.A.U.,2025-02-27,DE,70499,2297.4000,73.5200,45.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2415.9200,2415.9200,0.0000,True,full
2376869,21118876,SIKA S.A.U.,2025-02-24,DE,70499,2297.4000,73.5200,45.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2415.9200,2415.9200,0.0000,True,full
2376869,21119965,SIKA S.A.U.,2025-02-27,DE,70499,2297.4000,73.5200,45.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2415.9200,2415.9200,0.0000,True,full
2376870,21117563,SIKA POLYURETHANE,2025-02-17,DE,70499,1575.0000,50.4000,53.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1678.9000,1678.9000,0.0000,True,full
2376870,21117566,SIKA POLYURETHANE,2025-02-18,DE,70499,1575.0000,50.4000,53.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1678.9000,1678.9000,0.0000,True,full
2376870,21117562,SIKA POLYURETHANE,2025-02-17,DE,70499,1495.0000,47.8400,53.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1596.3400,1596.3400,0.0000,True,full
2376870,21117564,SIKA POLYURETHANE,2025-02-18,DE,70499,1495.0000,47.8400,53.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1596.3400,1596.3400,0.0000,True,full
2376870,21117993,SIKA POLYURETHANE,2025-02-19,DE,70499,1575.0000,50.4000,53.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1678.9000,1678.9000,0.0000,True,full
2376870,21117565,SIKA POLYURETHANE,2025-02-19,DE,70499,1495.0000,47.8400,53.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1596.3400,1596.3400,0.0000,True,full
2376870,21118411,SIKA POLYURETHANE,2025-02-21,DE,70499,1495.0000,47.8400,53.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1596.3400,1596.3400,0.0000,True,full
2376870,21118866,SIKA POLYURETHANE,2025-02-24,DE,70499,1575.0000,50.4000,53.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1678.9000,1678.9000,0.0000,True,full
