leistungsdatum,auftragsnummer,kunde,empf_land,empf_plz,fracht,diesel,maut,transportversicherung,verzollung,lademittel,gefahrgut,gb_safety_ssd,avisgebuehr,langgutzuschlag,sonstige_nebengeb,GESAMT,sum_kategorien,identitaet_delta,identitaet_ok
2025-10-20,7092010009267007,EBM-Papst Mulfingen GmbH & Co. KG,PL,03-236,920.0000,58.8800,95.4300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1074.3100,1074.3100,0.0000,True
2025-10-20,7092010018025001,EBM-Papst Mulfingen GmbH & Co. KG,IE,F92,3325.0000,212.8000,64.6200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3602.4200,3602.4200,0.0000,True
2025-10-20,7092010009309004,EBM-Papst Mulfingen GmbH & Co. KG,PL,59-241,79.0000,5.0600,2.4800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,86.5400,86.5400,0.0000,True
2025-10-20,7092010009380003,EBM-Papst Mulfingen GmbH & Co. KG,SK,014 01,174.0000,10.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,184.1000,184.1000,0.0000,True
2025-10-20,7092010018019000,EBM-Papst Mulfingen GmbH & Co. KG,IE,R32 PN8W,3375.0000,216.0000,64.6200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3655.6200,3655.6200,0.0000,True
2025-10-21,7092010009987004,EBM-Papst Mulfingen GmbH & Co. KG,PL,03-236,920.0000,58.8800,95.4300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1074.3100,1074.3100,0.0000,True
2025-10-21,7092010009400008,EBM-Papst Mulfingen GmbH & Co. KG,SK,905 01,960.0000,61.4400,37.7600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1059.2000,1059.2000,0.0000,True
2025-10-22,7092010011021000,EBM-Papst Mulfingen GmbH & Co. KG,HR,52460,1300.0000,83.2000,54.5800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1437.7800,1437.7800,0.0000,True
2025-10-22,7092010010357001,EBM-Papst Mulfingen GmbH & Co. KG,PL,03-236,920.0000,58.8800,95.4300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1074.3100,1074.3100,0.0000,True
2025-10-23,7092010011030002,EBM-Papst Mulfingen GmbH & Co. KG,SK,905 01,960.0000,61.4400,37.7600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1059.2000,1059.2000,0.0000,True
2025-10-23,7092010010869009,EBM-Papst Mulfingen GmbH & Co. KG,PL,03-236,920.0000,58.8800,95.4300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1074.3100,1074.3100,0.0000,True
2025-10-23,7092010011276004,EBM-Papst Mulfingen GmbH & Co. KG,HR,52460,1175.0000,75.2000,44.3500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1294.5500,1294.5500,0.0000,True
2025-10-24,7092010011864003,EBM-Papst Mulfingen GmbH & Co. KG,IE,R32 PN8W,1567.0000,100.2900,19.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1686.3000,1686.3000,0.0000,True
2025-10-24,7092010018032009,EBM-Papst Mulfingen GmbH & Co. KG,IE,R32 PN8W,3375.0000,216.0000,64.6200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3655.6200,3655.6200,0.0000,True
2025-10-24,7092010011223008,EBM-Papst Mulfingen GmbH & Co. KG,PL,03-236,920.0000,58.8800,95.4300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1074.3100,1074.3100,0.0000,True
2025-10-24,7092010018044002,EBM-Papst Mulfingen GmbH & Co. KG,IE,F92,3325.0000,212.8000,64.6200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3602.4200,3602.4200,0.0000,True
2025-10-24,7092010018040004,EBM-Papst Mulfingen GmbH & Co. KG,IE,H91,3505.0000,224.3200,64.6200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3793.9400,3793.9400,0.0000,True
2025-10-24,7092010010877004,EBM-Papst Mulfingen GmbH & Co. KG,HR,52460,1300.0000,83.2000,54.5800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1437.7800,1437.7800,0.0000,True
2025-10-24,7092010018034003,EBM-Papst Mulfingen GmbH & Co. KG,IE,R32 PN8W,3375.0000,216.0000,64.6200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3655.6200,3655.6200,0.0000,True
2025-10-27,7092010011782000,EBM-Papst Mulfingen GmbH & Co. KG,PL,03-236,920.0000,58.8800,95.4300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1074.3100,1074.3100,0.0000,True
2025-10-28,7092010011771004,EBM-Papst Mulfingen GmbH & Co. KG,PL,59-241,79.0000,5.0600,2.4800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,86.5400,86.5400,0.0000,True
2025-10-28,7092010011772001,EBM-Papst Mulfingen GmbH & Co. KG,SK,913 11,545.0000,34.8800,5.5500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,585.4300,585.4300,0.0000,True
2025-10-28,7092010012277000,EBM-Papst Mulfingen GmbH & Co. KG,PL,03-236,920.0000,58.8800,95.4300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1074.3100,1074.3100,0.0000,True
2025-10-30,7092010013191008,EBM-Papst Mulfingen GmbH & Co. KG,PL,03-236,920.0000,58.8800,95.4300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1074.3100,1074.3100,0.0000,True
2025-10-30,7092010013976001,EBM-Papst Mulfingen GmbH & Co. KG,SK,913 04,571.0000,36.5400,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,617.5400,617.5400,0.0000,True
2025-10-31,7092010015037007,EBM-Papst Mulfingen GmbH & Co. KG,IE,R32 PN8W,3375.0000,216.0000,64.6200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3655.6200,3655.6200,0.0000,True
2025-10-31,7092010011767007,EBM-Papst Mulfingen GmbH & Co. KG,EE,75306,260.0000,16.6400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,276.6400,276.6400,0.0000,True
2025-10-31,7092010015048003,EBM-Papst Mulfingen GmbH & Co. KG,IE,H91,3505.0000,224.3200,64.6200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3793.9400,3793.9400,0.0000,True
