auftragsnr,datum,nach_ort,route_key,no_route_match,phase_a,phase_b,ldm,stpl_abrstrecke,n_direct,n_ceil,n_round,n_floor,betrag,exp_26_direct,exp_26_ceil,exp_26_round,exp_26_floor,tariff_26_direct,toll_26_direct,exp_25_direct,exp_25_ceil,dlv_version_a,exp_phase_a,delta_a,dlv_version_b,exp_phase_b,delta_b,ratio_26_direct,muster_a,muster_b
7092010023535007,2025-12-05,Portlaoise,R32,False,in_dlv_2025,in_dlv_2025,13.6000,33.0000,33.0000,33,33,33,3655.6200,3439.6200,3439.6200,3439.6200,3439.6200,3375.0000,64.6200,3439.6200,3439.6200,2025,3439.6200,216.0000,2025,3439.6200,216.0000,1.0628,False,False
7092010023534000,2025-12-05,Portlaoise,R32,False,in_dlv_2025,in_dlv_2025,13.6000,33.0000,33.0000,33,33,33,3655.6200,3439.6200,3439.6200,3439.6200,3439.6200,3375.0000,64.6200,3439.6200,3439.6200,2025,3439.6200,216.0000,2025,3439.6200,216.0000,1.0628,False,False
7092010025179001,2025-12-12,Galway,H91,False,in_dlv_2025,in_dlv_2025,13.6000,33.0000,33.0000,33,33,33,3793.9400,3569.6200,3569.6200,3569.6200,3569.6200,3505.0000,64.6200,3569.6200,3569.6200,2025,3569.6200,224.3200,2025,3569.6200,224.3200,1.0628,False,False
7092010025177007,2025-12-12,Portlaoise,R32,False,in_dlv_2025,in_dlv_2025,13.6000,33.0000,33.0000,33,33,33,3655.6200,3439.6200,3439.6200,3439.6200,3439.6200,3375.0000,64.6200,3439.6200,3439.6200,2025,3439.6200,216.0000,2025,3439.6200,216.0000,1.0628,False,False
7092010025194004,2025-12-12,Portlaoise,R32,False,in_dlv_2025,in_dlv_2025,13.6000,33.0000,33.0000,33,33,33,3655.6200,3439.6200,3439.6200,3439.6200,3439.6200,3375.0000,64.6200,3439.6200,3439.6200,2025,3439.6200,216.0000,2025,3439.6200,216.0000,1.0628,False,False
7092010025941004,2025-12-18,Galway,H91,False,in_dlv_2025,in_dlv_2025,13.6000,33.0000,33.0000,33,33,33,3793.9400,3569.6200,3569.6200,3569.6200,3569.6200,3505.0000,64.6200,3569.6200,3569.6200,2025,3569.6200,224.3200,2025,3569.6200,224.3200,1.0628,False,False
7092010026981009,2025-10-10,Littleton,E41,False,in_dlv_2025,in_dlv_2025,13.6000,,,33,33,33,3495.0000,,3439.6200,3439.6200,3439.6200,,,,,2025,,,2025,,,,False,False
7092010027739005,2026-01-09,Galway,H91,False,in_dlv_2025,in_dlv_2025,6.4000,,,16,16,16,2445.2900,,2287.3094,2287.3094,2287.3094,,,,2287.3094,2025,,,2025,,,,False,False
7092010027865001,2026-01-09,Portlaoise,R32,False,in_dlv_2025,in_dlv_2025,13.6000,33.0000,33.0000,33,33,33,3675.8700,3439.6200,3439.6200,3439.6200,3439.6200,3375.0000,64.6200,3439.6200,3439.6200,2025,3439.6200,236.2500,2025,3439.6200,236.2500,1.0687,False,False
7092010027861003,2026-01-09,Rathmullan,F92,False,in_dlv_2025,in_dlv_2025,13.6000,33.0000,33.0000,33,33,33,3622.3700,3387.7194,3387.7194,3387.7194,3387.7194,3325.0000,62.7194,,,2025,,,2025,,,1.0693,False,False
7092010029588007,2026-01-16,Portlaoise,R32,False,in_dlv_2025,in_dlv_2025,13.6000,33.0000,33.0000,33,33,33,3675.8700,3439.6200,3439.6200,3439.6200,3439.6200,3375.0000,64.6200,3439.6200,3439.6200,2025,3439.6200,236.2500,2025,3439.6200,236.2500,1.0687,False,False
7092010029604004,2026-01-16,Portlaoise,R32,False,in_dlv_2025,in_dlv_2025,13.6000,33.0000,33.0000,33,33,33,3675.8700,3439.6200,3439.6200,3439.6200,3439.6200,3375.0000,64.6200,3439.6200,3439.6200,2025,3439.6200,236.2500,2025,3439.6200,236.2500,1.0687,False,False
7092010029769000,2026-01-16,Portlaoise,R32,False,in_dlv_2025,in_dlv_2025,6.8000,17.0000,17.0000,17,17,17,2456.8200,2298.2100,2298.2100,2298.2100,2298.2100,2265.9000,32.3100,2298.2100,2298.2100,2025,2298.2100,158.6100,2025,2298.2100,158.6100,1.0690,False,False
7092010029767006,2026-01-16,Galway,H91,False,in_dlv_2025,in_dlv_2025,6.0000,15.0000,15.0000,15,15,15,2328.9000,2178.4088,2178.4088,2178.4088,2178.4088,2149.9000,28.5088,2178.4088,2178.4088,2025,2178.4088,150.4912,2025,2178.4088,150.4912,1.0691,False,False
7092010030872003,2026-01-22,Rathmullan,F92,False,in_dlv_2025,in_dlv_2025,13.6000,33.0000,33.0000,33,33,33,3622.3700,3387.7194,3387.7194,3387.7194,3387.7194,3325.0000,62.7194,,,2025,,,2025,,,1.0693,False,False
7092010030871006,2026-01-22,Dublin,D12,False,in_dlv_2025,in_dlv_2025,13.6000,33.0000,33.0000,33,33,33,3675.8700,3439.6200,3439.6200,3439.6200,3439.6200,3375.0000,64.6200,3439.6200,3439.6200,2025,3439.6200,236.2500,2025,3439.6200,236.2500,1.0687,False,False
7092010031752007,2026-01-23,Rathmullan,F92,False,in_dlv_2025,in_dlv_2025,13.6000,33.0000,33.0000,33,33,33,3622.3700,3387.7194,3387.7194,3387.7194,3387.7194,3325.0000,62.7194,,,2025,,,2025,,,1.0693,False,False
7092010031744002,2026-01-23,Galway,H91,False,in_dlv_2025,in_dlv_2025,13.6000,33.0000,33.0000,33,33,33,3814.9700,3569.6200,3569.6200,3569.6200,3569.6200,3505.0000,64.6200,3569.6200,3569.6200,2025,3569.6200,245.3500,2025,3569.6200,245.3500,1.0687,False,False
7092010031747003,2026-01-23,Portlaoise,R32,False,in_dlv_2025,in_dlv_2025,13.6000,33.0000,33.0000,33,33,33,3675.8700,3439.6200,3439.6200,3439.6200,3439.6200,3375.0000,64.6200,3439.6200,3439.6200,2025,3439.6200,236.2500,2025,3439.6200,236.2500,1.0687,False,False
7092010031750003,2026-01-23,Portlaoise,R32,False,in_dlv_2025,in_dlv_2025,13.6000,33.0000,33.0000,33,33,33,3675.8700,3439.6200,3439.6200,3439.6200,3439.6200,3375.0000,64.6200,3439.6200,3439.6200,2025,3439.6200,236.2500,2025,3439.6200,236.2500,1.0687,False,False
7092010032335001,2026-01-26,Portlaoise,R32,False,in_dlv_2025,in_dlv_2025,13.6000,33.0000,33.0000,33,33,33,3675.8700,3439.6200,3439.6200,3439.6200,3439.6200,3375.0000,64.6200,3439.6200,3439.6200,2025,3439.6200,236.2500,2025,3439.6200,236.2500,1.0687,False,False
7092010032343006,2026-01-26,Littleton,E41,False,in_dlv_2025,in_dlv_2025,13.6000,33.0000,33.0000,33,33,33,3675.8700,3439.6200,3439.6200,3439.6200,3439.6200,3375.0000,64.6200,,,2025,,,2025,,,1.0687,False,False
7092010033712009,2026-01-30,Galway,H91,False,in_dlv_2025,in_dlv_2025,10.0000,25.0000,25.0000,25,25,25,3236.9700,3028.3147,3028.3147,3028.3147,3028.3147,2980.8000,47.5147,3028.3147,3028.3147,2025,3028.3147,208.6553,2025,3028.3147,208.6553,1.0689,False,False
7092010033710005,2026-01-30,Littleton,E41,False,in_dlv_2025,in_dlv_2025,13.6000,33.0000,33.0000,33,33,33,3675.8700,3439.6200,3439.6200,3439.6200,3439.6200,3375.0000,64.6200,,,2025,,,2025,,,1.0687,False,False
7092010033709009,2026-01-30,Portlaoise,R32,False,in_dlv_2025,in_dlv_2025,13.6000,33.0000,33.0000,33,33,33,3675.8700,3439.6200,3439.6200,3439.6200,3439.6200,3375.0000,64.6200,3439.6200,3439.6200,2025,3439.6200,236.2500,2025,3439.6200,236.2500,1.0687,False,False
