system;invoice;datum;dest;postcode;postcode_area;kg;ldm;fracht;diesel;lsz;ausfuhr;ssd;total_shipment
DINAS;RECHNUNG03767889.pdf;28.05.25;GB-CB9 8PR;CB9;CB;600.0;0.4;157.9;0;0.9;15.0;15.0;188.8
DINAS;RECHNUNG03769095.pdf;30.05.25;GB-M17 1 MANCHESTER;M17;M;5400.0;3.6;945.9;0;0.0;0.0;15.0;960.9
DINAS;RECHNUNG03769095.pdf;02.06.25;GB-BN24Q;BN24;BN;1200.0;0.8;286.9;0;0.0;0.0;15.0;301.9
DINAS;RECHNUNG03769095.pdf;02.06.25;GB-RM20 4AL;RM20;RM;300.0;0.2;57.54;0;0.0;0.0;15.0;72.53999999999999
DINAS;RECHNUNG03769095.pdf;02.06.25;GB-RM20 4AL;RM20;RM;1200.0;0.8;230.16;0;0.0;0.0;15.0;245.16
DINAS;RECHNUNG03769095.pdf;02.06.25;GB-RM20 4AL;RM20;RM;1200.0;0.8;230.15;0;0.0;0.0;15.0;245.15
DINAS;RECHNUNG03769095.pdf;05.06.25;GB-TF2 7NB;TF2;TF;1200.0;0.8;322.0;0;0.0;0.0;15.0;337.0
DINAS;RECHNUNG03769095.pdf;06.06.25;GB-LE67 1LE;LE67;LE;1800.0;1.2;393.2;0;0.0;0.0;15.0;408.2
DINAS;RECHNUNG03769095.pdf;06.06.25;GB-CV3 4 COVENTRY;CV3;CV;1200.0;0.8;289.4;0;0.0;0.0;15.0;304.4
DINAS;RECHNUNG03769095.pdf;06.06.25;GB-RM20 4AL;RM20;RM;600.0;0.4;154.55;0;0.0;0.0;15.0;169.55
DINAS;RECHNUNG03769157.pdf;22.05.25;GB-RG14 5 NEWBURY;RG14;RG;150.0;0.1;60.25;0;0.0;15.0;15.0;90.25
DINAS;RECHNUNG03769157.pdf;02.06.25;GB-DN11 0BG;DN11;DN;600.0;0.4;161.45;0;0.9;15.0;15.0;192.35
DINAS;RECHNUNG03769157.pdf;02.06.25;GB-CV5 9PF;CV5;CV;1200.0;0.8;289.4;0;1.8;15.0;15.0;321.2
DINAS;RECHNUNG03769157.pdf;04.06.25;GB-LE42B;LE42;LE;1200.0;0.8;289.4;0;1.8;15.0;15.0;321.2
DINAS;RECHNUNG03769157.pdf;05.06.25;GB-CV5 9PF;CV5;CV;600.0;0.4;154.55;0;0.9;15.0;15.0;185.45000000000002
DINAS;RECHNUNG03769157.pdf;05.06.25;GB-CV5 9PF;CV5;CV;600.0;0.4;154.55;0;0.9;15.0;15.0;185.45000000000002
DINAS;RECHNUNG03769157.pdf;05.06.25;GB-CV5 9PF;CV5;CV;600.0;0.4;154.55;0;0.9;15.0;15.0;185.45000000000002
DINAS;RECHNUNG03769157.pdf;05.06.25;GB-DN11 0BG;DN11;DN;600.0;0.4;161.45;0;0.9;15.0;15.0;192.35
DINAS;RECHNUNG03769157.pdf;06.06.25;GB-CV5 9PF;CV5;CV;600.0;0.4;154.55;0;0.9;15.0;15.0;185.45000000000002
DINAS;RECHNUNG03769167.pdf;02.06.25;GB-PE198 BUSINESS;PE19;PE;0.0;0.0;2463.15;0;0.0;0.0;15.0;2478.15
DINAS;RECHNUNG03769167.pdf;02.06.25;GB-BA3 4BS;BA3;BA;2400.0;1.6;371.88;0;0.0;0.0;15.0;386.88
DINAS;RECHNUNG03769167.pdf;02.06.25;GB-BA3 4BS;BA3;BA;8400.0;5.6;1301.57;0;0.0;0.0;15.0;1316.57
DINAS;RECHNUNG03769167.pdf;02.06.25;GB-NN86X;NN86;NN;7200.0;4.8;1110.1;0;0.0;0.0;15.0;1125.1
DINAS;RECHNUNG03769167.pdf;30.05.25;GB-L33 7XN;L33;L;0.0;0.0;1196.8;0;0.0;0.0;15.0;1211.8
DINAS;RECHNUNG03769167.pdf;02.06.25;GB-B42 1DY;B42;B;0.0;0.0;2540.95;0;0.0;0.0;15.0;2555.95
DINAS;RECHNUNG03769167.pdf;02.06.25;GB-BA3 4BS;BA3;BA;1200.0;0.8;197.63;0;0.0;0.0;15.0;212.63
DINAS;RECHNUNG03769167.pdf;02.06.25;GB-BA3 4BS;BA3;BA;0.0;0.0;1127.67;0;0.0;0.0;15.0;1142.67
DINAS;RECHNUNG03769167.pdf;02.06.25;GB-BA3 4BS;BA3;BA;11850.0;7.9;1759.05;0;0.0;0.0;15.0;1774.05
